::1 - - [27/Jan/2026:17:50:26 +0000] "GET / HTTP/1.1" 200 341 "-" "curl/8.16.0"
::1 - - [27/Jan/2026:17:55:15 +0000] "GET /api/health HTTP/1.1" 200 82 "-" "curl/8.16.0"
::1 - - [27/Jan/2026:17:55:48 +0000] "GET /api/health HTTP/1.1" 200 82 "-" "curl/8.16.0"
::1 - - [27/Jan/2026:18:22:55 +0000] "GET /api/health HTTP/1.1" 200 82 "-" "curl/8.16.0"
::1 - - [27/Jan/2026:18:54:07 +0000] "GET /api/health HTTP/1.1" 200 82 "-" "curl/8.16.0"
::1 - - [27/Jan/2026:18:54:49 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "-" "curl/8.16.0"
::1 - - [27/Jan/2026:18:55:04 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "-" "axios/1.13.3"
::1 - - [27/Jan/2026:18:55:22 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [27/Jan/2026:18:55:22 +0000] "GET /api/dashboard/stats HTTP/1.1" 200 459 "-" "axios/1.13.3"
::1 - - [27/Jan/2026:18:55:34 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [27/Jan/2026:18:55:35 +0000] "GET /api/dashboard/stats HTTP/1.1" 200 459 "-" "axios/1.13.3"
::1 - - [27/Jan/2026:19:17:58 +0000] "GET /api/health HTTP/1.1" 200 82 "-" "curl/8.16.0"
::1 - - [28/Jan/2026:01:26:07 +0000] "GET /api/health HTTP/1.1" 200 82 "-" "curl/8.16.0"
::1 - - [28/Jan/2026:01:28:37 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "curl/8.16.0"
::1 - - [28/Jan/2026:01:29:15 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:29:15 +0000] "GET /api/dashboard/stats HTTP/1.1" 200 459 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:29:26 +0000] "GET /api/auth/users HTTP/1.1" 200 268 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:29:27 +0000] "GET /api/users HTTP/1.1" 500 97 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:29:29 +0000] "GET /api/auth/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:29:31 +0000] "GET /api/users HTTP/1.1" 500 97 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:29:40 +0000] "GET /api/auth/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:30:38 +0000] "POST /api/auth/users HTTP/1.1" 200 54 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:30:38 +0000] "GET /api/auth/users HTTP/1.1" 200 367 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:30:45 +0000] "GET /api/users HTTP/1.1" 500 97 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:31:38 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:31:41 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:31:59 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:31:59 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:31:59 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:00 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:00 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:00 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:00 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:00 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:01 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:01 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:01 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:02 +0000] "POST /api/users HTTP/1.1" 500 96 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:21 +0000] "GET /api/auth/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:24 +0000] "GET /api/users HTTP/1.1" 500 97 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:32:26 +0000] "GET /api/auth/users HTTP/1.1" 304 - "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
